frame,pts_seconds,gray_mean,mean_absolute_difference
752,30.080,53.1401,8.1249
753,30.120,52.4740,5.1749
754,30.160,52.3119,10.7299
755,30.200,52.8241,16.6269
756,30.240,52.2569,16.5419
757,30.280,51.9816,13.2801
758,30.320,51.3201,13.2999
759,30.360,52.4072,11.7112
760,30.400,54.0591,15.0656
761,30.440,54.8586,14.8742
762,30.480,55.2751,10.8815
763,30.520,55.8630,8.2846
764,30.560,55.3592,8.5139
765,30.600,55.1953,6.4639
766,30.640,55.2221,4.7360
767,30.680,55.5408,7.8129
768,30.720,54.7152,7.3544
769,30.760,54.4354,7.9619
770,30.800,53.5067,8.6535
771,30.840,53.2590,6.6580
772,30.880,91.9382,53.5217
773,30.920,91.9683,10.7083
774,30.960,94.2615,10.2136
775,31.000,92.5426,10.9841
776,31.040,94.4969,11.3108
777,31.080,95.4055,13.5367
778,31.120,93.8273,13.4007
779,31.160,93.5657,7.0160
780,31.200,94.2099,11.9528
781,31.240,96.8903,22.0815
782,31.280,94.9240,29.1481
783,31.320,91.3947,22.6931
784,31.360,90.9215,13.8219
785,31.400,89.8652,10.6195
786,31.440,90.4412,10.2112
787,31.480,91.6211,16.1014
788,31.520,90.7781,17.3625
789,31.560,90.0873,16.0049
790,31.600,88.7252,13.5512
791,31.640,88.0817,11.1974
792,31.680,88.5669,10.6733
793,31.720,86.6549,9.0518
794,31.760,87.3492,8.2895
795,31.800,88.1452,8.7497
796,31.840,89.1927,11.4024
797,31.880,89.9476,14.7814
798,31.920,92.0576,16.7089
799,31.960,92.1636,17.5383
800,32.000,96.0929,15.8306
801,32.040,98.3369,12.0040
802,32.080,99.7499,12.6803
803,32.120,97.5103,11.5009
804,32.160,98.5208,6.8276
805,32.200,100.8156,8.8501
806,32.240,101.9247,11.9982
807,32.280,102.0825,12.8574
808,32.320,101.2322,14.0174
809,32.360,100.6656,13.8826
810,32.400,100.1778,14.8562
811,32.440,99.9034,17.5090
812,32.480,101.1035,17.7264
813,32.520,99.5425,16.5372
814,32.560,99.8902,12.8553
815,32.600,99.8516,12.5124
816,32.640,100.1147,13.8462
817,32.680,100.6133,14.4072
818,32.720,84.9891,31.8451
819,32.760,84.8008,1.7926
820,32.800,84.9748,1.6828
821,32.840,84.6968,2.2855
822,32.880,84.9864,2.1125
823,32.920,84.8938,1.7430
824,32.960,85.1189,1.5283
825,33.000,85.1270,1.9377
826,33.040,85.2000,0.9302
827,33.080,85.0233,1.1864
828,33.120,85.1856,1.3561
829,33.160,85.2289,1.1035
830,33.200,84.9578,1.4750
831,33.240,84.9096,1.9310
832,33.280,84.6826,2.0356
833,33.320,84.8731,1.9810
834,33.360,84.9426,2.0192
835,33.400,84.9992,1.4717
836,33.440,84.9334,0.9649
837,33.480,84.9695,1.2728
838,33.520,84.8017,1.2925
839,33.560,84.6878,1.3003
840,33.600,84.7538,1.4037
841,33.640,84.7845,2.0768
842,33.680,84.8348,1.8790
843,33.720,84.6462,1.9429
844,33.760,84.7553,1.7313
845,33.800,84.9658,1.6665
846,33.840,85.1729,0.9422
847,33.880,85.0872,0.8859
848,33.920,85.0572,1.5906
849,33.960,85.1926,1.6210
850,34.000,85.3255,1.7594
851,34.040,85.2771,1.7727
852,34.080,85.4097,1.5737
853,34.120,85.5753,1.2256
854,34.160,92.2736,28.5231
855,34.200,92.6108,4.6426
856,34.240,91.0849,5.9706
857,34.280,90.8577,5.2176
858,34.320,90.5019,5.5743
